"txn_id","account_id","amount","method","timestamp","location","device_id","status","is_fraud","is_flagged"
"001821fa-451b-4935-be3a-4df4f1f1bd3f","3ebe3777-a821-4e6d-bc14-4c569da01cfb","1.00","NEFT","2025-06-25 21:15:19.237023","Bhopal","DEVICE-G6","FAILED","false","false"
"00248457-0fda-47b8-be10-4abcd5b4228d","f7917984-1f05-4bfb-b0c5-df151b7cc334","359247.12","NEFT","2025-06-25 21:29:33.863739","Jammu","DEVICE-W2","PENDING","false","false"
"002b67a6-f712-498f-8a4a-b82eed3a15ca","d8472fbd-bc94-4c87-ba12-1900fc15a1b7","168568.94","UPI","2025-06-25 22:00:33.201603","Kashmir","DEVICE-8890","COMPLETED","false","false"
"00608777-0f01-48fa-8023-c9696ee765fb","c60ed865-8c15-4e0e-ac73-97716f73106b","1147.49","UPI","2025-06-25 22:08:58.185726","Varanasi","DEVICE-D5","FAILED","false","false"
"00728a42-95bd-47c7-a497-a40af53044cb","fbe316ef-b207-4f47-8874-df1b10c96f6c","95838.40","IMPS","2025-06-25 22:04:29.095371","Pune","DEVICE-H8","COMPLETED","false","false"
"00818b55-d1da-4fc4-b3f4-77b4e618ef9b","959dc24b-0468-4851-a410-49ffae0f50b9","20747.00","IMPS","2025-06-25 22:01:01.42248","Assam","DEVICE-H1","COMPLETED","false","false"
"008d5c1a-fd8b-4d9f-91fd-4e82dfbedb85","ef1b74d5-a9e3-47e2-b13d-150b01058f2a","9150.42","IMPS","2025-06-25 22:02:20.814549","Jammu","DEVICE-H1","PENDING","false","false"
"00a03be0-2c38-4c05-8104-c4201ac7ed10","397ab967-986e-467d-82b9-2c030fe29cb9","168491.98","UPI","2025-06-25 21:28:29.248485","Bhubaneshwar","DEVICE-H8","FAILED","false","false"
"00a51ce5-af2c-4e0e-89d5-a7d09bdd521c","be08fcb1-2e09-4f70-820b-4be5e159a5d2","1.00","UPI","2025-06-25 21:23:13.307667","Rourkela","DEVICE-Z1","REVERSED","false","false"
"00a7f645-9e2d-4760-bc2f-dd9d6d693e3d","cf69f4d2-5ed2-4f47-add7-36d6259d0103","1.00","UPI","2025-06-25 22:16:53.050107","Bhubaneshwar","DEVICE-Z1","REVERSED","false","false"
